CountryName,YearExclInfLab,Polyarchy,LibDem,ParticipDem,EgalDem,FreeFairElect,EqualAccess,CPIScore,CPIScoreRank,CPIScoreStdErr,EconIntelRating,SnPGloInsightsRating,WEFRating,InfLabYear,MaleInfLab,FemInfLab,TotInfLab
Guatemala,2024,0.597,0.469,0.386,0.261,0.62,0.605,0.25,146,0.014999990000000001,0.18,0.32,0.29,2023,81.217,85.973,83.189
Iran,2024,0.167,0.092,0.041,0.147,0.238,0.313,0.23,151,0.02219655,0.18,0.32,0.25,NA,NA,NA,NA
Iraq,2024,0.351,0.228,0.199,0.206,0.348,0.433,0.26,140,0.04441586,0.18,0.06,0.44,2021,70.537,45.434,67.639
Ireland,2024,0.895,0.83,0.631,0.785,0.951,0.859,0.77,10,0.01546298,0.67,0.72,0.84,NA,NA,NA,NA
Italy,2024,0.803,0.705,0.623,0.715,0.946,0.914,0.54,52,0.01666242,0.51,0.59,0.46,NA,NA,NA,NA
Jordan,2024,0.273,0.274,0.127,0.213,0.514,0.41,0.49,59,0.03482653,0.51,0.32,0.71,2023,57.696,42.66,55.124
Latvia,2024,0.838,0.765,0.601,0.728,0.921,0.859,0.59,38,0.02090773,0.51,0.59,0.32,NA,NA,NA,NA
Lesotho,2024,0.658,0.516,0.407,0.509,0.79,0.846,0.37,99,0.04131208,NA,0.59,0.22,2019,80.698,81.061,80.854
Liberia,2024,0.613,0.404,0.334,0.385,0.596,0.849,0.27,135,0.0201491,NA,0.19,0.27,2017,85.706,93.686,89.662
Malawi,2024,0.58,0.482,0.374,0.342,0.603,0.571,0.34,107,0.014163539999999999,0.18,0.46,0.37,2013,83.203,90.926,87.079
